name,growth_rate,exposure,soil,hardiness,water,height,spread,colourInSummer,colourInFall,colourPetals,slideShow
"European filbert, common hazel",,Full sun,,Zone 3: (-40 to -34 C),,5,5,,,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51EB2460>
"contorted European Filbert, Harry Lauder's walking stick, corkscrew hazel",Slow,"Full sun, Part sun/part shade","Alkaline, Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),,5,3,,"Yellow, Red","Not showy, Green-yellow, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C423D0>
"Turkish filbert, Turkish hazel",Fast,"Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 4: (-34 to -29 C),"Moderate, Summer dry",30,15,,,"Green, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51ADA220>
"beaked hazelnut, western beaked hazel",Moderate,"Filtered shade, Full sun only if soil kept moist",,Zone 4: (-34 to -29 C),,10,4,,Yellow,"Green-yellow, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DF0820>
"purple filbert, hazel",Fast,Full sun,,Zone 5: (-29 to -23 C),,7,5,"Purple, Dark-green, leaf colour seems to be reverting back to green after 10+ years in ground (due to part-shade exposure?)",Yellow,Purple,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507745E0>
"cosmos, Mexican aster",,Full sun,,Zone 9: (-7 to -1 C),,1.3,1.0,,,"White, Pink, Red, Magenta, (yellow disk florets)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C618E0>
smoke bush,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Low,5,5,"Dark-red, Green",Dark-red,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506B4A60>
Peking cotoneaster,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate,3,3,,"Yellow, Red, Orange","White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D63100>
bearberry cotoneaster,Moderate,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),Moderate,0.4,2.0,,Dark-green,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50077610>
Franchet cotoneaster,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate,3,3,,Green,"Not showy, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50015220>
rockspray cotoneaster,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate,1.3,1.5,,"Dark-green, Red, Dark-red, Bronze","Showy, White, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502D7D30>
Parney cotoneaster,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),Moderate,2.0,3,"Dark-green, Nearly White, undersurface whitish",Dark-green,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503FFC70>
"small-leaf cotoneaster, thyme-leaf cotoneaster",Slow,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate,1.3,1.5,,Dark-green,"Not showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50758640>
willowleaf cotoneaster,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate,3,4,,"Green, Red","Showy, White, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5067C520>
jade plant,Slow,,Well-drained,Zone 9: (-7 to -1 C),Low,2.0,1.5,,Green,"Showy, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E69A00>
Lavalle hawthorn,Moderate,Full sun,,Zone 5: (-29 to -23 C),Low,10,7,,Bronze,White,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D06C10>
Morden hawthorn,Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),,7,7,,Yellow,"Showy, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BB2C40>
black hawthorn,Slow,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),Low,10,7,"Green, Dark-green","Green-yellow, Orange, Red","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E65EE0>
English hawthorn,,"Full sun, Part sun/part shade",Rocky or gravelly or dry,Zone 5: (-29 to -23 C),,7,7,,Yellow,"Showy, Pink, White, (cv. Paul's Scarlet has double bright crimson flowers)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BDD7C0>
common hawthorn,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),,15,10,,Yellow,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F3B0A0>
Washington hawthorn,Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low,10,5,"Green, Dark-green","Red, Green-yellow, Orange","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BEEBB0>
Lucifer montbretia,Fast,"Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate,1.3,1.5,,Green,"Showy, Red, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF5061FDC0>
montbretia,Fast,"Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),Low,1.3,1.5,,Green-yellow,"Showy, Orange",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50709AF0>
"Dutch crocus, crocus",,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate,0.2,0.1,,,"Showy, Yellow, Violet, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507F8A00>
"snow crocus, golden crocus",,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low,0.2,0.1,,Brown,"Showy, Yellow, Purple, Violet, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E16760>
"fall flowering crocus, Bieberstein's crocus",,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),,0.2,0.1,,,"Showy, Violet, Blue, (lilac with paler coloured throats and dark veins)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BCE8B0>
"Dutch crocus, crocus",,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate,0.2,0.1,,,"Showy, White, Violet, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5061EB80>
firecracker flower,,Part sun/part shade,,Zone 10: (-1 to 4 C),Moderate,0.7,0.6,,,"Yellow, Orange, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502A0A00>
earth star,Moderate,,"Acidic, Well-drained",Zone 11: (above 4 C),Low,0.2,0.3,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506182E0>
zebra plant,Moderate,,,Zone 11: (above 4 C),,0.2,0.6,"Dark-green, Silver / Grayish","Dark-green, Silver / Grayish","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF52044AC0>
"cockscomb Japanese cedar, crested Japanese cedar",Slow,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate,15,5,,,"No flowers, Green, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50336EE0>
plume Japanese cedar,Moderate,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),,10,,"Green, Green-yellow",Purple,"No flowers, Green, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5061EF10>
Japanese cedar,Slow,"Full sun, Part sun/part shade, Sheltered","Acidic, Humus rich, Well-drained",Zone 6: (-23 to -18 C),Moderate,22,7,"Dark-green, Green, Winter - bronze",,"No flowers, Green, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DF0280>
globe Japanese cedar,Slow,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),,1.3,1.0,,Green,"No flowers, Green, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51922910>
never never plant,,,,Zone 10: (-1 to 4 C),Moderate,1.3,1.0,"Green-yellow, Yellow, Silver / Grayish, Dark-red, Green",,"Red, Pink, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50774940>
"cantaloupe , honeydew , muskmelon",Fast,Full sun,,Zone 8a: (-12 to -9.5 C),Moderate,3,0.6,,,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF52050940>
"long English cucumber, European cucumber",,Full sun,Well-drained,Zone 4: (-34 to -29 C),High,3,1.5,,,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF500527C0>
"pumpkin , winter squash",Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 9: (-7 to -1 C),,1.3,7,,,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF500812E0>
"summer squash , zucchini",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),,1.3,3,,,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51ABCD90>
China fir,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 7: (-18 to -12 C),,30,7,"Bluish, Green",Green,No flowers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C82580>
firecracker,Fast,Full sun,Well-drained,Zone 11: (above 4 C),,0.4,0.6,,Green,"Showy, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BFD160>
Mexican heather,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 10: (-1 to 4 C),Low,0.7,1.0,,Dark-green,"Showy, White, Violet, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D2C670>
Leyland cypress,Fast,"Full sun, Part sun/part shade","Acidic, Alkaline, Well-drained",Zone 6: (-23 to -18 C),Moderate,30,15,,Green,"No flowers, Yellow, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C82970>
Arizona cypress,Moderate,"Full sun, Part sun/part shade","Acidic, Alkaline, Well-drained",Zone 7: (-18 to -12 C),Moderate,15,10,"Green, Silver / Grayish","Green, Silver / Grayish","No flowers, Yellow, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C76940>
weeping Nootka false cypress,Moderate,Full sun,"Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate,22,10,,Green,"No flowers, Green-yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51976C40>
"Nootka cypress , yellow cedar",Moderate,Full sun,"Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate,22,10,,Green,"No flowers, Green-yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF52041070>
Japanese sago palm,Slow,"Filtered shade, Full sun",Well-drained,Zone 9: (-7 to -1 C),Low,1.3,1.5,,,"Male Cone, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507AB0A0>
hardy cyclamen,,,,Zone 5: (-29 to -23 C),,0.2,0.3,"Dark-green, Green, Silver / Grayish",,"Showy, Purple, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5073E1F0>
cyclamen,Slow,Part sun/part shade,Well-drained,Zone 7: (-18 to -12 C),Moderate,0.4,0.6,,,"White, Violet, Pink, Red, Magenta, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5078F880>
"hardy cyclamen, spring sowbread",,,,Zone 7: (-18 to -12 C),,0.4,0.6,,,"Showy, Purple, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51981AC0>
quince,Moderate,Full sun,Well-drained,Zone 6: (-23 to -18 C),,7,7,,,"White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F14040>
boat orchid,Moderate,"Filtered shade, Part sun/part shade",,Zone 11: (above 4 C),,0.7,0.3,,Green,"Showy, White, Green-yellow, Yellow, Pink, Red, Brown, Green, Black, Orange",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5039FB20>
"cardoon , globe artichoke",Fast,Full sun,,Zone 7: (-18 to -12 C),,3,2.0,,,"Showy, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B76CA0>
"papyrus, umbrella plant",Fast,Full sun,,Zone 10: (-1 to 4 C),High,1.3,1.0,,,"Showy, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A3CAC0>
Japanese holly fern,Slow,"Filtered shade, Part sun/part shade","Alkaline, Humus rich, Well-drained",Zone 6: (-23 to -18 C),,0.7,1.0,,Dark-green,No flowers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E17F40>
Warminster broom,,Full sun,,Zone 6: (-23 to -18 C),,1.3,1.5,,,"Showy, Yellow, (Pale Yellow FLowers)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519C6B80>
Scotch broom,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),"Low, Summer dry",2.0,2.0,,Green,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BBD520>
orchard grass,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),,1.3,0.6,"Bluish, Green","Bluish, Green",Green-yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5075FD90>
dahlia,Fast,Full sun,Well-drained,Zone 8b: (-9.4 to -7 C),Moderate,1.3,0.6,,Green,"Showy, White, Violet, Yellow, Orange, Pink, Red, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F81310>
"rose daphne, garland flower, rock daphne",Slow,"Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),,0.2,1.5,,Dark-green,"White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D92F40>
spurge laurel,,"Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 7: (-18 to -12 C),,1.3,1.5,,Dark-green,"Not showy, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51FB59D0>
variegated winter daphne,,Part sun/part shade,"Humus rich, Well-drained",Zone 7: (-18 to -12 C),,1.3,1.5,,,"Purple, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C3AD90>
umbrella plant,Moderate,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade",,Zone 4: (-34 to -29 C),,1.3,1.5,,Red,"Showy, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C0F460>
"pricklyburr, thorn apple",,Full sun,,Zone 9: (-7 to -1 C),,1.3,2.0,,,"White, Violet, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50796A00>
carrot,Moderate,Full sun,,Zone 3: (-40 to -34 C),,0.4,0.3,,Yellow,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502D2670>
rabbit's foot fern,,"Deep shade, Filtered shade",,Zone 10: (-1 to 4 C),Moderate,0.7,1.0,,Green,No flowers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B0CE20>
"dove tree, kleenex tree, handkerchief tree",Moderate,"Filtered shade, Full sun only if soil kept moist","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate,15,10,,"Green, Brown","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50072E80>
hardy ice plant,Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),,0.1,0.6,,Green,"Showy, Yellow, Red, Violet, Orange, Purple, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50364D00>
delphinium,Fast,"Full sun, Sheltered",Well-drained,Zone 4: (-34 to -29 C),Moderate,2.0,1.0,,"Yellow, Brown","Showy, White, Blue, Yellow, Pink, Red, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50779AC0>
"delphinium, perennial larkspur",Fast,"Full sun, Sheltered",Well-drained,Zone 4: (-34 to -29 C),Moderate,2.0,1.0,,"Yellow, Brown","Showy, Blue, Dark-red, Pink, White, Red, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x986 at 0x7FBF51A0A580>
tufted hair grass,Fast,"Full sun, Part sun/part shade","Acidic, Alkaline, Bog, Rocky or gravelly or dry",Zone 4: (-34 to -29 C),"Moderate, Wetlands",0.7,0.6,,Brown,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BECD30>
slender deutzia,Moderate,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),,1.3,1.0,,Yellow,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5077A280>
"Pride of Rochester deutzia, fuzzy deutzia",Moderate,"Full sun, Part sun/part shade",,Zone 6: (-23 to -18 C),,3,3,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DD97C0>
sweet William,Fast,"Full sun, Part sun/part shade","Alkaline, Well-drained",Zone 4: (-34 to -29 C),,0.7,0.6,,Brown,"Showy, White, Pink, Purple, Red, Magenta, (petals bicoloured in some cvs.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502F18B0>
carnation,Moderate,Full sun,"Alkaline, Rocky or gravelly or dry, Well-drained",Zone 8a: (-12 to -9.5 C),Low,0.7,0.6,"Bluish, Green",,"Showy, White, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D058E0>
"dianthus, China pink",Moderate,Full sun,"Acidic, Alkaline, Well-drained",Zone 3: (-40 to -34 C),Moderate,0.4,0.3,"Bluish, Green",,"Showy, White, Pink, Red, Violet",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51E4A100>
maiden pink,Moderate,Full sun only if soil kept moist,,Zone 3: (-40 to -34 C),,0.2,0.3,,,"White, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50640970>
cheddar pink,Moderate,Full sun,Well-drained,Zone 3: (-40 to -34 C),Low,0.4,0.3,"Bluish, Green, Silver / Grayish",Bluish,"Showy, Magenta",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BA3B80>
cottage pink,,,,Zone 4: (-34 to -29 C),,0.4,0.6,,,"Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503BA880>
"diascia, twinspur",Fast,"Full sun, Part sun/part shade",,Zone 8a: (-12 to -9.5 C),,0.4,0.6,,,"Showy, Yellow, Pink, Purple, Red, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B87B50>
bleeding heart,Moderate,,,Zone 3: (-40 to -34 C),,0.7,0.6,,,"White, (depends on cv.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C3FD30>
fringed bleeding heart,Moderate,"Filtered shade, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),,0.4,0.6,,,"Showy, White, Pink, Red, (species has pink flowers)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E167F0>
Pacific bleeding heart,Moderate,"Filtered shade, Part sun/part shade",,Zone 4: (-34 to -29 C),,0.4,1.0,,Brown,"Not showy, Pink, (Dicentra formosa 'Ivory Hearts' has heart shaped, ivory white flowers held above ferny, blue gray foliage, slightly fragrant.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF5073E940>
dumb cane,Moderate,,"Humus rich, Well-drained",Zone 10: (-1 to 4 C),Low,3,1.5,"Green, Yellow, Commercial cvs. vargtd. w. yellow, cream","Green, Yellow","Showy, White, Yellow, (green spathe)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C4A5B0>
dwarf bush honeysuckle,Moderate,Part sun/part shade,Well-drained,Zone 4: (-34 to -29 C),Moderate,1.3,1.5,,,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5193E790>
foxglove,Fast,Part sun/part shade,"Humus rich, Well-drained",Zone 4: (-34 to -29 C),Low,2.0,0.6,,,"Showy, White, Pink, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C2C610>
smooth crabgrass,Fast,,,Zone 4: (-34 to -29 C),,0.1,0.3,,,"Not showy, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5198EF70>
red bud hazel,Moderate,"Full sun, Part sun/part shade, Sheltered","Acidic, Humus rich, Well-drained",Zone 7: (-18 to -12 C),Moderate,3,3,"Bluish, Green, green to yellow to red to purple in fall","Yellow, Orange, Purple, Red","Not showy, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51EB8EB0>
orchid cactus,,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),"Low, Summer dry, Winter dry",0.4,0.3,,Dark-green,"Orange, Yellow, Pink, White, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D05040>
shooting star,,,,Zone 4: (-34 to -29 C),,,,,,"White, Violet, Blue, Pink, Purple, Magenta",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A8C760>
shooting star,,"Full sun only if soil kept moist, Part sun/part shade",Humus rich,Zone 5: (-29 to -23 C),,0.4,0.3,,,"Showy, Pink, Violet",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506BC610>
leopard's bane,Slow,Part sun/part shade,"Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate,0.7,1.0,,,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C126A0>
"ribbon plant, lucky bamboo",,,Well-drained,Zone 10: (-1 to 4 C),"Low, Moderate",1.3,0.6,,,"Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502A3D60>
