name,growth_rate,exposure,soil,hardiness,water
grey-leaf willow ,Fast,"Full sun, Part sun/part shade",Bog,Zone 4: (-34 to -29 C),"High, Wetlands"
Hooker's willow ,Fast,"Full sun, Part sun/part shade",Bog,Zone 6: (-23 to -18 C),"High, Wetlands"
"dappled willow, Japanese willow ",Fast,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
Pacific willow ,Fast,Full sun,,Zone 6: (-23 to -18 C),Wetlands
"dwarf arctic willow, purple willow, purple osier",Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
"Scouler's willow, mountain willow ",Fast,Full sun,Bog,Zone 4: (-34 to -29 C),High
fantail willow ,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Wetlands
blue anise sage ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 8a: (-12 to -9.5 C),Moderate
pineapple sage ,,Part sun/part shade,,Zone 8a: (-12 to -9.5 C),Moderate
mealy-cup sage ,Fast,Full sun,Well-drained,Zone 8a: (-12 to -9.5 C),Moderate
autumn sage ,Fast,"Full sun, Part sun/part shade",,Zone 7: (-18 to -12 C),Low
variegated sage ,Fast,Full sun,Well-drained,Zone 6: (-23 to -18 C),"Low, Summer dry"
purple leaf sage ,Fast,"Full sun, Part sun/part shade",Rocky or gravelly or dry,Zone 6: (-23 to -18 C),NA
common sage ,,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),Moderate
rosemary ,Slow,Full sun,"Alkaline, Rocky or gravelly or dry, Well-drained",Zone 7: (-18 to -12 C),"Low, Summer dry, Winter dry"
scarlet sage ,Fast,Full sun,Well-drained,Zone 10: (-1 to 4 C),Moderate
salvia cultivars,Fast,Full sun,Well-drained,Zone 8a: (-12 to -9.5 C),Moderate
"elderberry, European elder ",Moderate,"Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate
coastal red elderberry ,Moderate,Part sun/part shade,"Acidic, Bog",Zone 5: (-29 to -23 C),Moderate
bottlebrush ,Fast,"Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),NA
"snake plant, mother-in-law's tongue ",,,Well-drained,Zone 10: (-1 to 4 C),Low
lavender cotton ,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 6: (-23 to -18 C),"Low, Summer dry, Winter dry"
creeping zinnia ,Fast,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 8a: (-12 to -9.5 C),Moderate
dwarf sweet box ,Slow,"Deep shade, Part sun/part shade","Acidic, Alkaline, Well-drained",Zone 6: (-23 to -18 C),Moderate
"winter savory, mountain savory ",Moderate,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),NA
hybrid saxifrage ,Fast,"Deep shade, Part sun/part shade",,Zone 6: (-23 to -18 C),NA
mossy saxifrage ,Slow,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),NA
pyramidal saxifrage ,Slow,Full sun,,Zone 4: (-34 to -29 C),NA
"strawberry begonia , mother of thousands",,"Filtered shade, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),Moderate
dwarf pincushion flower ,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Low
fairy fan-flower ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Moderate
dwarf umbrella plant,Moderate,Part sun/part shade,Well-drained,Zone 10: (-1 to 4 C),Moderate
false aralia ,,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),"Low, Moderate"
"bluestem grass, little bluestem ",Fast,Full sun,Well-drained,Zone 5: (-29 to -23 C),Low
Thanksgiving cactus ,,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),"Low, Summer dry, Winter dry"
Peruvian squill ,Fast,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 2: (-46 to -40 C),Low
Siberian squill ,Fast,Full sun,,Zone 2: (-46 to -40 C),NA
woolgrass ,Fast,"Full sun, Part sun/part shade",Bog,Zone 4: (-34 to -29 C),High
"small-flowered bulrush, wood club rush ",Fast,"Filtered shade, Full sun, Part sun/part shade",Bog,Zone 6: (-23 to -18 C),High
variegated figwort ,Fast,Part sun/part shade,Humus rich,Zone 5: (-29 to -23 C),Wetlands
barbed skullcap,Fast,Full sun,"Bog, Humus rich",Zone 3: (-40 to -34 C),Moderate
purple autumn stonecrop ,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),"Low, Summer dry, Winter dry"
starbright sedum,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),"Summer dry, Winter dry"
Ruby Glow sedum,Moderate,Full sun,,Zone 5: (-29 to -23 C),NA
"golden carpet, mossy stonecrop ",Moderate,Full sun,,Zone 4: (-34 to -29 C),NA
"sedum, stonecrop ",Moderate,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),NA
Bertram Anderson sedum,Moderate,Full sun,,Zone 5: (-29 to -23 C),NA
gold stonecrop ,,Full sun,Rocky or gravelly or dry,Zone 7: (-18 to -12 C),Low
Spanish stonecrop ,,Full sun,Rocky or gravelly or dry,Zone 8a: (-12 to -9.5 C),Low
"orange stonecrop, Russian stonecrop ",Slow,"Full sun, Part sun/part shade","Alkaline, Rocky or gravelly or dry, Well-drained",Zone 7: (-18 to -12 C),NA
stonecrop ,Slow,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
burro's tail ,,,Well-drained,Zone 10: (-1 to 4 C),Low
Oregon stonecrop ,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 7: (-18 to -12 C),Low
Sea Star stonecrop ,,,"Rocky or gravelly or dry, Well-drained",Zone 8a: (-12 to -9.5 C),Low
blue spruce stonecrop ,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 6: (-23 to -18 C),"Low, Summer dry"
Angelina stonecrop ,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),"Low, Summer dry"
six-sided stonecrop ,Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
spoon-leaved stonecrop ,Slow,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 7: (-18 to -12 C),"Low, Summer dry"
"two-row stonecrop, Caucasian stonecrop ",Moderate,"Full sun, Part sun/part shade",Rocky or gravelly or dry,Zone 4: (-34 to -29 C),Summer dry
autumn stonecrop ,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 7: (-18 to -12 C),Low
three-leaved stonecrop,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),"Low, Summer dry, Winter dry"
"clubmoss, Irish moss, spike moss ",,"Deep shade, Filtered shade","Humus rich, Well-drained",Zone 7: (-18 to -12 C),Moderate
"hens and chicks hybrid, houseleek",Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),"Low, Summer dry, Winter dry"
cobweb houseleek,Slow,"Full sun, Sheltered","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),"Low, Summer dry"
"roof houseleek, hens and chicks ",,Full sun,Rocky or gravelly or dry,Zone 4: (-34 to -29 C),Low
groundsel,Fast,Full sun,,Zone 6: (-23 to -18 C),NA
coast redwood ,Moderate,Full sun,"Acidic, Well-drained",Zone 8a: (-12 to -9.5 C),High
weeping Sierra redwood,Slow,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
Sierra redwood ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate
"buffaloberry, soapberry ",Moderate,"Full sun, Part sun/part shade",,Zone 2: (-46 to -40 C),NA
"zig-zag bamboo, ruscus-leaved bamboo ",Moderate,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),Moderate
"checkerbloom, prairie mallow ",Fast,Full sun,"Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate
rose campion,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Low
florest's gloxinia ,Slow,,,Zone 11: (above 4 C),NA
blue-eyed grass ,Moderate,"Full sun, Part sun/part shade",Bog,Zone 3: (-40 to -34 C),Wetlands
Japanese skimmia,Slow,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Well-drained",Zone 7: (-18 to -12 C),High
Reeves Japanese skimmia,Moderate,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Humus rich",Zone 7: (-18 to -12 C),Moderate
"deadly nightshade , European bittersweet ",Moderate,Full sun,,Zone 4: (-34 to -29 C),Low
potato vine ,Fast,Full sun,,Zone 10: (-1 to 4 C),NA
tomato ,,Full sun,,Zone 2: (-46 to -40 C),High
garden huckleberry ,Fast,Part sun/part shade,,Zone 10: (-1 to 4 C),NA
eggplant ,,,,Zone 9: (-7 to -1 C),Moderate
"Jerusalem cherry, Christmas cherry ",,,,Zone 9: (-7 to -1 C),Moderate
potato ,Fast,,,Zone 8a: (-12 to -9.5 C),NA
baby's tears ,Fast,"Full sun only if soil kept moist, Part sun/part shade",,Zone 9: (-7 to -1 C),Moderate
goldenrod ,Fast,Full sun,Rocky or gravelly or dry,Zone 4: (-34 to -29 C),Low
"Golden Baby goldenrod, hybrid goldenrod ",Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low
fireworks goldenrod ,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Low
annual sow thistle,Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
false spiraea ,Fast,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 2: (-46 to -40 C),NA
American mountain ash ,Moderate,Full sun,Rocky or gravelly or dry,Zone 3: (-40 to -34 C),Wetlands
common whitebeam ,Moderate,Full sun,Rocky or gravelly or dry,Zone 5: (-29 to -23 C),Wetlands
European mountain ash ,Moderate,Full sun,"Acidic, Well-drained",Zone 3: (-40 to -34 C),"Low, Moderate"
"showy mountain ash, northern mountain ash ",Moderate,Full sun,"Acidic, Humus rich, Well-drained",Zone 2: (-46 to -40 C),Moderate
Pink Pagoda mountain ash ,Moderate,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),NA
western mountain ash ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 2: (-46 to -40 C),"Low, Moderate"
peace lily ,Moderate,,Well-drained,Zone 11: (above 4 C),Moderate
Dart's red spirea ,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
bridal wreath spirea ,Moderate,,Well-drained,Zone 4: (-34 to -29 C),Moderate
hardhack ,Fast,Full sun,"Acidic, Bog",Zone 5: (-29 to -23 C),Wetlands
Goldflame spirea ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),NA
Japanese spirea ,Moderate,"Full sun, Part sun/part shade",Humus rich,Zone 4: (-34 to -29 C),"Summer dry, Wetlands"
Anthony Waterer spirea ,,Full sun,Well-drained,Zone 4: (-34 to -29 C),NA
Goldmound spirea ,,Full sun,Well-drained,Zone 5: (-29 to -23 C),NA
Little Princess spirea ,,Full sun,Well-drained,Zone 4: (-34 to -29 C),NA
snowmound spirea ,Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),Low
"Thunberg spirea, baby's breath spirea ",Moderate,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),NA
three lobe spirea ,,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
"woolly betony, giant lamb's ears ",Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),"Low, Summer dry, Winter dry"
alpine betony ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Low
chickweed ,Moderate,Part sun/part shade,Humus rich,Zone 8b: (-9.4 to -7 C),Moderate
"stevia, sweetleaf",Fast,Full sun,,Zone 9: (-7 to -1 C),NA
Japanese stewartia,Moderate,"Filtered shade, Full sun","Humus rich, Well-drained",Zone 5: (-29 to -23 C),NA
Chinese stewartia,Slow,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
giant feather grass ,Fast,Full sun,Rocky or gravelly or dry,Zone 6: (-23 to -18 C),"Summer dry, Winter dry"
Stoke's aster ,Fast,"Full sun, Part sun/part shade, Sheltered","Acidic, Well-drained",Zone 5: (-29 to -23 C),NA
bird of paradise ,,,Well-drained,Zone 9: (-7 to -1 C),Low
cape primrose ,,Filtered shade,,Zone 9: (-7 to -1 C),Moderate
"bavarian belles, false African violet, cape primrose ",Fast,"Deep shade, Filtered shade, Part sun/part shade",,Zone 9: (-7 to -1 C),NA
Persian shield ,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 9: (-7 to -1 C),NA
"Japanese snowbell, Japanese snowcone ",Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
fragrant styrax,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate
bacopa ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 9: (-7 to -1 C),Moderate
Chenault coralberry ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Low
snowberry ,Fast,Part sun/part shade,Well-drained,Zone 3: (-40 to -34 C),Moderate
"bushy aster, rice button aster ",Fast,Full sun,,Zone 4: (-34 to -29 C),NA
calico aster ,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate
"Michaelmas daisy , aster ",Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate
"daisy , Douglas' aster  ",Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate
"arrowhead vine, nephthytis",,,,Zone 10: (-1 to 4 C),Moderate
"Meyer lilac, dwarf Korean lilac ",,Full sun,"Humus rich, Well-drained",Zone 3: (-40 to -34 C),NA
Ivory Silk Japanese tree lilac ,Moderate,Full sun,Alkaline,Zone 3: (-40 to -34 C),Moderate
common lilac ,Moderate,Full sun,Alkaline,Zone 2: (-46 to -40 C),Moderate
African marigold ,Fast,Full sun,Well-drained,Zone 9: (-7 to -1 C),Moderate
French marigold ,Slow,Full sun,Well-drained,Zone 9: (-7 to -1 C),Moderate
"tamarisk, salt cedar ",Fast,Full sun,,Zone 3: (-40 to -34 C),NA
feverfew ,Fast,Full sun,,Zone 5: (-29 to -23 C),NA
common tansy ,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Low
dandelion ,Moderate,"Full sun, Part sun/part shade",Rocky or gravelly or dry,Zone 4: (-34 to -29 C),Low
"bald cypress, pond cypress ",Moderate,"Full sun only if soil kept moist, Part sun/part shade","Acidic, Bog, Well-drained",Zone 5: (-29 to -23 C),Wetlands
"yew, dense yew",,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),NA
dwarf English yew ,Moderate,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 5: (-29 to -23 C),Low
English yew ,Slow,"Filtered shade, Full sun, Part sun/part shade","Acidic, Alkaline, Well-drained",Zone 6: (-23 to -18 C),Summer dry
Irish yew ,Slow,"Filtered shade, Full sun, Part sun/part shade","Acidic, Well-drained",Zone 7: (-18 to -12 C),Moderate
"Pacific yew, western yew ",Slow,"Deep shade, Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate
"upright yew, Japanese yew",Slow,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Acidic, Well-drained",Zone 4: (-34 to -29 C),Moderate
fringecup ,Fast,"Filtered shade, Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 5: (-29 to -23 C),"Low, Wetlands"
wall germander ,Moderate,Full sun,,Zone 5: (-29 to -23 C),NA
meadow rue ,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),NA
Ellwanger American arborvitae ,Slow,Full sun,,Zone 2: (-46 to -40 C),NA
Brandon cedar ,Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
Golden Globe cedar ,Slow,Full sun,,Zone 3: (-40 to -34 C),NA
pyramidal cedar ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 3: (-40 to -34 C),Moderate
white cedar ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 3: (-40 to -34 C),Moderate
"emerald cedar, eastern white cedar ",Slow,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),Moderate
Zebrina cedar ,Fast,Full sun,"Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate
western red cedar ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
Whipcord red cedar ,Moderate,Full sun,,Zone 5: (-29 to -23 C),NA
hiba arborvitae ,Slow,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),"High, Moderate"
black-eyed Susan vine ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 11: (above 4 C),Moderate
lemon thyme ,Slow,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low
woolly thyme ,Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),Summer dry
red creeping thyme ,,Full sun,Well-drained,Zone 6: (-23 to -18 C),Moderate
mother of thyme ,Slow,Full sun,Well-drained,Zone 4: (-34 to -29 C),Low
"common thyme, garden thyme ",Moderate,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate
foamflower ,Moderate,"Filtered shade, Part sun/part shade",Humus rich,Zone 4: (-34 to -29 C),NA
trefoil foamflower ,Fast,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Bog, Humus rich",Zone 5: (-29 to -23 C),"Moderate, Wetlands"
"glory bush, princess flower ",,Full sun,,Zone 9: (-7 to -1 C),NA
"tiger flower, peacock flower ",Fast,Full sun,"Humus rich, Well-drained",Zone 8a: (-12 to -9.5 C),NA
"little leaf linden, small-leaved linden",Moderate,Full sun,Well-drained,Zone 3: (-40 to -34 C),Moderate
Green Mountain silver linden ,Fast,Full sun,Well-drained,Zone 6: (-23 to -18 C),Low
air plant,Slow,Part sun/part shade,,Zone 11: (above 4 C),NA
piggyback plant,Fast,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Humus rich",Zone 6: (-23 to -18 C),"Moderate, Wetlands"
"wishbone flower, torenia",,Part sun/part shade,Well-drained,Zone 9: (-7 to -1 C),Moderate
"Chinese windmill palm, Chusan palm ",Moderate,"Full sun, Part sun/part shade",,Zone 7: (-18 to -12 C),NA
spiderwort ,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
wandering Jew ,,,,Zone 9: (-7 to -1 C),Moderate
"wandering Jew , spiderwort ",Moderate,"Filtered shade, Part sun/part shade",,Zone 10: (-1 to 4 C),NA
"Moses-in-the-cradle, boat lily",,,,Zone 9: (-7 to -1 C),Moderate
wandering Jew,,"Full sun, Part sun/part shade",,Zone 9: (-7 to -1 C),Moderate
Japanese toad lily,Moderate,"Deep shade, Filtered shade, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
starflower ,Fast,"Deep shade, Filtered shade, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
"yellow clover, small hop clover",Fast,"Full sun, Part sun/part shade",,Zone 7: (-18 to -12 C),NA
"Dutch clover,  Dark Dancer clover",Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),NA
white clover ,Moderate,"Full sun, Part sun/part shade","Humus rich, Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low
great white trillium ,Fast,"Deep shade, Filtered shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),NA
"western wakerobin, western trillium ",Fast,"Filtered shade, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
wheat,Fast,Full sun,"Alkaline, Well-drained",Zone 3: (-40 to -34 C),NA
globe flower,Fast,"Full sun, Part sun/part shade",Humus rich,Zone 5: (-29 to -23 C),High
"globeflower, common European globeflower ",Fast,"Deep shade, Filtered shade, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
"nasturtium , Indian cress ",Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 11: (above 4 C),NA
"Canada hemlock, eastern hemlock",Moderate,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate
western hemlock ,Moderate,"Deep shade, Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate
mountain hemlock ,Slow,"Full sun, Part sun/part shade",Humus rich,Zone 4: (-34 to -29 C),Wetlands
tulip ,,Full sun,,Zone 4: (-34 to -29 C),Moderate
"cattail , bulrush ",Fast,"Full sun, Part sun/part shade","Bog, Humus rich",Zone 3: (-40 to -34 C),"Aquatic, High, Wetlands"
American elm ,Fast,Full sun,Well-drained,Zone 3: (-40 to -34 C),Moderate
stinging nettle ,,"Filtered shade, Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),Moderate
highbush blueberry ,,"Full sun, Part sun/part shade",Acidic,Zone 3: (-40 to -34 C),Moderate
cranberry ,Moderate,"Full sun, Part sun/part shade",Acidic,Zone 3: (-40 to -34 C),Moderate
oval-leaved blueberry ,Moderate,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Bog, Humus rich",Zone 3: (-40 to -34 C),Moderate
Thunderbird evergreen huckleberry ,Moderate,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 7: (-18 to -12 C),"Low, Moderate"
small cranberry ,Fast,Full sun,"Acidic, Bog",Zone 2: (-46 to -40 C),NA
red huckleberry ,Moderate,Part sun/part shade,"Acidic, Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate
"lingonberry, small cranberry ",Fast,Full sun,"Acidic, Bog",Zone 2: (-46 to -40 C),NA
garden heliotrope ,Fast,Full sun,,Zone 2: (-46 to -40 C),NA
inside-out flower ,Fast,"Filtered shade, Part sun/part shade",Humus rich,Zone 5: (-29 to -23 C),Wetlands
dark mullein ,Fast,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Summer dry
mullein ,,"Filtered shade, Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),NA
"verbena, hybrid verbena ",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 9: (-7 to -1 C),Moderate
purpletop verbena,Fast,Full sun,,Zone 7: (-18 to -12 C),NA
creeping speedwell ,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
thymeleaf speedwell ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate
"veronica, speedwell ",Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
Culver's root ,Fast,Full sun,Well-drained,Zone 3: (-40 to -34 C),"Moderate, Wetlands"
Burkwood viburnum ,,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
fragrant viburnum ,,"Full sun, Part sun/part shade",,Zone 6: (-23 to -18 C),NA
Bodnant viburnum ,Moderate,Full sun,Well-drained,Zone 7: (-18 to -12 C),Moderate
David viburnum ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate
arrowhead viburnum ,,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
"moosewood, squashberry, mooseberry ",,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
European snowball,Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
"Japanese snowball bush , doublefile viburnum",Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
leatherleaf viburnum,Moderate,"Filtered shade, Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
highbush cranberry ,Fast,"Filtered shade, Full sun, Part sun/part shade","Acidic, Humus rich",Zone 2: (-46 to -40 C),NA
"tufted vetch, bird vetch",Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),Low
"broad bean, fava bean ",Fast,"Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),NA
common vetch ,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
"periwinkle , creeping myrtle",Fast,"Filtered shade, Full sun","Acidic, Well-drained",Zone 4: (-34 to -29 C),Low
pansy ,Moderate,"Full sun, Full sun only if soil kept moist","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
"violet , pansy ",Fast,"Filtered shade, Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
grape ,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate
"bromeliad, flaming sword  ",,,Well-drained,Zone 10: (-1 to 4 C),Low
Wine and Roses weigela,Moderate,Full sun,"Acidic, Well-drained",Zone 5: (-29 to -23 C),NA
weigela,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate
Japanese wisteria,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
Chinese wisteria,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
giant chain fern ,Fast,"Filtered shade, Part sun/part shade",,Zone 8a: (-12 to -9.5 C),NA
yellow lichen ,Slow,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Low
strawflower ,Fast,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 9: (-7 to -1 C),NA
"yucca, Adam's needle, palm lily ",Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),"Low, Summer dry"
spineless yucca,,,Well-drained,Zone 9: (-7 to -1 C),Low
"Zanzibar gem, zz plant, feng shui plant",Slow,,,Zone 9: (-7 to -1 C),NA
calla lily ,Fast,Full sun,,Zone 8a: (-12 to -9.5 C),NA
Japanese pepper ,,"Full sun, Part sun/part shade",,Zone 6: (-23 to -18 C),NA
"maize, corn ",Fast,Full sun,"Humus rich, Well-drained",Zone 8a: (-12 to -9.5 C),NA
Japanese zelkova ,Fast,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),"Low, Summer dry"
zinnia,Moderate,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 2: (-46 to -40 C),Moderate
Pink Dawn chitalpa,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Low
calamondin orange ,Slow,Full sun,,Zone 10: (-1 to 4 C),Moderate
echibeckia,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate
